"mz"	"mzmin"	"mzmax"	"rt"	"rtmin"	"rtmax"	"npeaks"	"netCDF_b1"	"IL_130512_1001"	"IL_130512_1002"	"isotopes"	"adduct"	"pcgroup"
65.0152335529567	65.0152335529567	65.0152335529567	2270.37650164977	2270.37650164977	2270.37650164977	1	1	799.971332950518	216.609735404171	""	""	"37"
66.009919630575	66.009919630575	66.009919630575	2270.37650164977	2270.37650164977	2270.37650164977	1	1	342.059831840452	105.753107037799	""	""	"428"
68.9994556195978	68.9994556195978	68.9994556195978	337.07649526568	337.07649526568	337.07649526568	1	1	5.6683024062386	166.671131462972	""	""	"329"
82.0403209013368	82.0403209013368	82.0403209013368	2270.37650164977	2270.37650164977	2270.37650164977	1	1	380.282129659263	83.6459401006227	""	""	"37"
84.0089956476312	84.0089956476312	84.0089956476312	2127.97757314877	2127.97757314877	2127.97757314877	1	1	488.29277279583	198.746441204548	""	""	"14"
89.0143589518116	89.0143589518116	89.0143589518116	2270.37650164977	2270.37650164977	2270.37650164977	1	1	356.861670278013	136.253788968397	""	""	"429"
89.0235036116655	89.0235036116655	89.0235036116655	1690.08865606906	1690.08865606906	1690.08865606906	1	1	5.671720963812	258.699970785528	""	""	"313"
90.010203910273	90.010203910273	90.010203910273	2269.25536842504	2269.25536842504	2269.25536842504	1	1	509.419134534647	201.576648661645	""	""	"37"
91.0219502299812	91.0218714959736	91.0220289639888	2201.49823096998	2201.41343836732	2201.58302357263	2	2	1981.59457343365	828.28622109897	""	"[M+Cl]- 56.0563 [M-H]- 92.0321"	"70"
91.0218036722034	91.0218036722034	91.0218036722034	2058.34638149418	2058.34638149418	2058.34638149418	1	1	241.726953622544	73.8557644746017	""	"[M-H]- 92.0327"	"131"
91.0218911603058	91.0218911603058	91.0218911603058	2135.81433392933	2135.81433392933	2135.81433392933	1	1	958.263312430645	80.6754801853752	""	"[M-H]- 92.031"	"90"
96.9605305648698	96.9605305648698	96.9605305648698	1759.02939377664	1759.02939377664	1759.02939377664	1	1	284.755035512486	1216.15507532771	""	""	"19"
100.933501439591	100.933501439591	100.933501439591	2133.57519124451	2133.57519124451	2133.57519124451	1	1	1621.79764508503	289.718471283182	""	""	"69"
101.025049349211	101.025049349211	101.025049349211	1690.08865606906	1690.08865606906	1690.08865606906	1	1	8.72626207132035	252.197844235863	""	""	"314"
101.02470424181	101.02470424181	101.02470424181	338.194281321274	338.194281321274	338.194281321274	1	1	51.9328876278173	1606.77947018576	""	"[M-H]- 102.037"	"7"
105.035525265314	105.035525265314	105.035525265314	338.194281321274	338.194281321274	338.194281321274	1	1	6.23002788733132	311.103524798666	""	""	"330"
106.040963739242	106.040639452155	106.041288026329	2271.01423300307	2270.53197350632	2271.49649249982	2	2	7293.15369646283	980.67622916471	""	"[M-2H]2- 214.097"	"37"
107.013525360884	107.013525360884	107.013525360884	1163.87740634558	1163.87740634558	1163.87740634558	1	1	18.1347440496595	305.172449889622	""	""	"478"
107.037786362599	107.036641504465	107.038931220732	2270.45423757804	2270.37650164977	2270.53197350632	2	2	1526.01859814662	475.810708622494	""	""	"37"
112.985996451485	112.985996451485	112.985996451485	2260.75101991691	2260.75101991691	2260.75101991691	1	1	480.651252568932	49.6339921406519	""	""	"519"
116.026331796837	116.026331796837	116.026331796837	2269.25536842504	2269.25536842504	2269.25536842504	1	1	506.795402475725	154.116412322793	""	""	"37"
116.929163067967	116.929163067967	116.929163067967	2085.18352684839	2085.18352684839	2085.18352684839	1	1	1205.07746772435	572.291094722353	""	""	"12"
116.928772281016	116.928772281016	116.928772281016	2168.22774447	2168.22774447	2168.22774447	1	1	1068.28318019468	496.148231879025	""	""	"324"
118.04164547482	118.04164547482	118.04164547482	2270.37650164977	2270.37650164977	2270.37650164977	1	1	1035.69656686741	254.001643199459	""	"[M-H+Cl]2- 202.111"	"37"
119.051200805327	119.051200805327	119.051200805327	865.529614690913	865.529614690913	865.529614690913	1	1	1.13442379205427	363.954143556221	""	""	"334"
120.056698749077	120.056698749077	120.056698749077	2270.37650164977	2270.37650164977	2270.37650164977	1	1	757.082057846292	184.547756666914	""	"[M-H-CH4]- 137.092"	"37"
121.052516001684	121.052424234323	121.052607769045	2271.01423300307	2270.53197350632	2271.49649249982	2	2	1491.90406061243	464.04429772505	""	"[M-H-CH3]- 137.092"	"37"
123.045592523914	123.045592523914	123.045592523914	338.194281321274	338.194281321274	338.194281321274	1	1	100.729342846935	2615.68566303442	"[39][M]-"	""	"331"
124.048369596014	124.048369596014	124.048369596014	338.194281321274	338.194281321274	338.194281321274	1	1	6.22918425002901	224.065563656955	"[39][M+1]-"	""	"332"
125.024820930105	125.024820930105	125.024820930105	1688.96885614663	1688.96885614663	1688.96885614663	1	1	11.2194809799816	275.019794261129	""	""	"315"
