compound	chemSpider	formula	M.neutral	rt.lib	msms.frgs
Tyrosine	1121	C9H11NO3	181.074	1.14	165.05;147.04;136.07;123.04;119.05;107.04;95.04;91.05
Phenylalanine	969	C9H11NO2	165.079	2	120.08;103.05;91.05;77.03 
Tryptophan	1116	C11H12N2O2	204.09	3.7	188.07;146.06
Chlorogenic acid	1405788	C16H18O9	354.095082	4.8	
Caffeic acid	600426	C9H8O4	180.042259	5.4	
p-Coumaric acid	553148	C9H8O3	164.047	7.6	147.04;119.04;91.05;65.03
Ferulic acid	393368	C10H10O4	194.058	8.9	177.054;145.028
Sinapic acid	10290	C11H12O5	224.068473	9.25	
Rutin	4444362	C27H30O16	610.153	10	465.10, 303.05 
Benzoic acid	238	C7H6O2	122.037	10.4	
Quercetin	4444051	C15H10O7	302.042653	16.3	
Cinnamic acid	392447	C9H8O2	148.052429	16.4	
dehydrotomatin	NA	C50H81NO21	1031.530109	17.2	1014.5;900.5;576.4;414.4
alpha-Tomatine	26536	C50H83NO21	1033.545759	17.8	1016.5;578.4;416.4
Naringenin	907	C15H12O5	272.068473	18.7	153.02;147.04;119.05
Kaempferol	4444395	C15H10O6	286.047738	19.5	
